"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
2395,"N-S linear deposit of stones W. of 2394, W. of 2245","Intentional Deposition",0.0,0.0,0.0,"","",""
2396,"E-W linear deposit of stones E. of 2395, W. of 2245","Intentional Deposition",0.0,0.0,0.0,"","",""
2397,"Compact yellow deposit with frequent stone inclusions W. of wall 2256 in S. half of courtyard","Accumulation",25.0,75.0,0.0,"Compact","Yellow","small frags, though in generally good shape"
2398,"Brown silty deposit with frequent stone inclusions W. of wall 2256","Accumulation",20.0,80.0,0.0,"Friable","Brown","Many very small fragments, no good diagnostics."
2399,"Compact light brown deposit in N. half of ""Room C8""","Accumulation",20.0,80.0,0.0,"Compact","Light Gray",""
2400,"Brownish -yellow silty deposit in SW corner of area","Accumulation",20.0,80.0,0.0,"Friable","Brown","Small SU with not many diagnostics, but black gloss and commonware in larger fragments with visible diagnostics. Some burnt pieces, largely free of accretion. EDIT June 2016: Another casetta of material added to SU. Separate entries for one ware represents the added casetta (with the note ""2016 additions"")."
2401,"Compact deposit of grey soil with stone inclusions in center of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Gray","small fragments, though breaks generally sharp"
2402,"Yellowish-brown silty deposit N. of 2274 in S. part of courtyard","Accumulation",20.0,80.0,0.0,"Soft","Light Brown","Few diagnostics, mostly small fragments."
2403,"Deposit with frequent tufo inclusions S. 2274","Intentional Deposition",20.0,80.0,0.0,"Compact","Red","two joining sherds of small black gloss patera; only diagnostics and fabric samples kept for tile"
2404,"Tile fragnents S. of 2260","Intentional Deposition",0.0,0.0,0.0,"","","No diagnostics for comparanda."
2405,"Deposit of stones in SE corner of area","Collapse",20.0,80.0,0.0,"Friable","Brown","breaks generally in good condition, though frags very small except tile"
2406,"Deposit of red-orange soil in SW corner of area","Accumulation",10.0,90.0,0.0,"Loose","Red","Small fragments without good surfaces."
2407,"Fill of cut 2408 in SE corner of area","Accumulation",20.0,80.0,0.0,"Loose","Red","Fragments in good condition; free of accretion."
2408,"Cut filled by 2407 in SE corner of area","Cutting",0.0,0.0,0.0,"","",""
2409,"Compact yellow deposit in S. half of courtyard  half ","Accumulation",20.0,80.0,0.0,"Compact","Yellow",""
2410,"Compact grey deposit N. of 2306","Accumulation",25.0,75.0,0.0,"Compact","Gray","Few diagnostic, no wares later than black gloss"
2411,"Compact floor deposit S. of 2261","Construction",0.0,0.0,0.0,"","",""
2412,"E-W running wall E. of 2261","Construction",0.0,0.0,0.0,"","",""
2413,"N-S running wall S. of 2412","Construction",0.0,0.0,0.0,"","",""
2414,"Compact grey deposit with stone inclusions in W. part of ""Room C8""","Accumulation",20.0,80.0,0.0,"Compact","Light Gray","two joining base sherds of painted creamware preserving diamater of ring-foot base"
2415,"Loose silty grey deposit N. of 2411","Accumulation",20.0,70.0,10.0,"Loose","Light Gray","relatively few diagnostic pieces in this layer, pieces seem to be pre-imperial, no accretions."
2416,"Brown silty deposit in N. half of ""Room C8"" S. of wall 2240","Accumulation",20.0,80.0,0.0,"Loose","Brown","Few diagnostics. Some sherds appear smoothed as if by exposure to water. Black gloss surfaces in good condition."
2417,"Deposit of stones W. of wall SU 2412","Collapse",20.0,80.0,0.0,"Loose","Brown","diagnostics poorly preserved"
2418,"Compact grey deposit in S. part of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Gray","Sherds in good condition, though most fragments are small. Few diagnostics."
2419,"Collapse of stones related to wall 2412","Collapse",25.0,75.0,0.0,"Friable","Brown",""
2420,"Yellowish grey silty deposit with frequent stone inclusions W. of 2256","Accumulation",20.0,80.0,0.0,"Friable","Light Gray","Few diagnostics, broad range of wares, surfaces in good condition."
2421,"Silty brown deposit S. of 2393","Accumulation",10.0,80.0,10.0,"Friable","Light Gray","diagnostic sherds poorly preserved; burnt commonware sherds"
2422,"Compact deposit with frequent red tufo E. of 2276","Accumulation",20.0,80.0,0.0,"Loose","Red","Some burned sherds. Few diagnostics."
2423,"Grey silty deposit, = 2415 N. of 2261","Accumulation",20.0,80.0,0.0,"Friable","Brown","diagnostic sherds in poor condition--difficult to find comparanda for vessel forms; only fabric samples retained for tile"
2424,"Compact light grey deposit N. of 2306 in SW corner of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Light Gray","Many burnt sherds of commonware. Fragments of black gloss and overpainted ware include larger fragments. Few diagnostics overall."
2425,"Reddish-yellow deposit with frequent stone inclusions in SW corner of area","Accumulation",20.0,80.0,0.0,"Friable","Red","poor diagnostics for comparanda"
2426,"Compact greyish-brown deposit W. of 2256","Accumulation",30.0,70.0,0.0,"Compact","Light Gray",""
2427,"Fill of cut SU 2428 in SW corner of area","Accumulation",10.0,80.0,10.0,"Loose","Gray","exterior heavily encrusted with white/yellow crust; interior has line of black residue just below break in wall"
2428,"Cut filled by SU 2427 in SW corner of area","Cutting",0.0,0.0,0.0,"","",""
2429,"Light grey compact deposit N. of wall 2274","Accumulation",20.0,80.0,0.0,"Compact","Light Gray",""
2430,"Brown silty deposit W. of 2256, fill of cut 2432","Accumulation",0.0,70.0,30.0,"Friable","Brown",""
2431,"Light brown silty deposit in SE corner of area, = 2415 and 2423","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
2432,"Cut filled by 2430, NW of 2256. Foundation cut for linear feature 2393","Cutting",0.0,0.0,0.0,"","",""
2433,"Compact light brown deposit NW of 2256","Accumulation",20.0,80.0,0.0,"Friable","Light Gray","Few diagnostics good for dating, most of the ceramics pretty fragmented. Many burnt sherds."
2434,"Single worked stone E. of 2306","Construction",0.0,0.0,0.0,"","",""
2435,"Loose brown silty deposit in SE corner of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Light Brown",""
2436,"Worked tufo block/slab in SE corner of courtyard W. of 2256","Construction",0.0,0.0,0.0,"","",""
2437,"Linear deposit of stones running E-W, N. of 2306=2484","Intentional Deposition",0.0,0.0,0.0,"","",""
2438,"Compact grey deposit in SW corner of area, S. of 2274, = 2429","Accumulation",40.0,60.0,0.0,"Compact","Gray","Some diagnostics present, no highly fragmented pieces, and few accretions. "
2439,"Compact grey deposit with frequent stony inclusions along E. limit of courtyard","Accumulation",0.0,75.0,25.0,"Friable","Light Gray","Black gloss, large storage vessel, and tiles in good condition. Other sherds have higher fragmentation."
2440,"Loose brown silty deposit W. of wall 2256","Accumulation",10.0,80.0,10.0,"Friable","Brown","Very few diagnostics, none useful for comparanda. Highly fragmented ceramics. "
2441,"Greyish-brown silty deposit in S. part of courtyard N. of 2437","Accumulation",20.0,80.0,0.0,"Compact","Light Brown","Sherds in good condition, fairly fragmentary but with some wares in better condition. Few diagnostics. "
2442,"Compact light grey deposit NW of 2437","Accumulation",20.0,80.0,0.0,"Compact","Light Gray","Variably fragmented potsherds, few diagnostics. No accretions on surface. Commonware sherds rough."
2443,"Loose brown silty deposit S. of wall SU 2256","Accumulation",10.0,90.0,0.0,"Friable","Light Brown",""
2444,"Deposit of basalt stones W. of wall 2256","Intentional Deposition",20.0,80.0,0.0,"Loose","Brown","Fragments in good condition. All older wares. Few diagnostics to aid in precise dating."
2445,"Deposit of brown soil beneath floor preparation 2272","Accumulation",10.0,80.0,10.0,"Loose","Light Brown","Many diagnostics, many large fragments in later wares. Sherds in good condition with some wear on surfaces."
2446,"Reddish brown deposit with frequent stone inclusions W. of 2256 ","Intentional Deposition",20.0,80.0,0.0,"Compact","Red","No useful diagnostic sherds for spot dates. Other than opaque red ware and impasto chiaro sabbioso, sherds fragmented and worn."
2447,"Brown silty deposit along W. limit of 2015 Area C","Accumulation",20.0,80.0,0.0,"Friable","Light Brown",""
2448,"Compact grey deposit S. of 2306 and E. of 2278","Accumulation",20.0,80.0,0.0,"Compact","Light Gray","Many highly fragmentary wares, very broad chronological range, few diagnostics."
2449,"Fill of cut 2450 in SW corner of courtyard","Accumulation",10.0,80.0,10.0,"Loose","Brown","Only two sherds in SU, no diagnostics."
2450,"Circular cut filled by 2449","Cutting",0.0,0.0,0.0,"","",""
2451,"Yellow silty deposit running E-W in S. part of courtyard","Accumulation",0.0,70.0,30.0,"Friable","Yellow","Very old wares seem residual. Newer sherds in good condition, fairly consistent fragmentation. No accretions on surfaces."
2452,"Fill of cut 2453 along W. 2015 excavation limit","Accumulation",10.0,90.0,0.0,"Loose","Light Brown","No accretions, fairly even fragmentation."
2453,"Cut filled by 2452","Cutting",0.0,0.0,0.0,"","",""
2454,"Single worked tufo block N. of 2260 along W. limit of 2015 area C","Construction",0.0,0.0,0.0,"","",""
2455,"N. tufo blocks beneath wall 2256","Construction",0.0,0.0,0.0,"","",""
2456,"S. tufo blocks beneath wall 2256, E. of 2436","Construction",0.0,0.0,0.0,"","",""
2457,"Linear deposit of loose brown soil W. of 2434","Accumulation",10.0,80.0,10.0,"Friable","Brown","Dateable wares in assemblage come from relatively narrow period with none later than overpainted black gloss. Few diagnostics prevent narrow dating. Sherds in good condition without accretions and with some larger fragments; earlier wares such as impasto are worn."
2458,"Loose brown silty deposit NW of 2434","Accumulation",0.0,80.0,20.0,"Soft","Brown","Assemblage has few diagnostics, but contained range of wares. Some sherds appear to be burned (commonware/impasto). Difficult to distinguish between commonware and impasto in some cases. Ceramics fairly highly fragmented. "
2459,"Light brown silty deposit with stone inclusions in E. half of Room C1","Accumulation",10.0,80.0,10.0,"Loose","Light Brown","only fabric samples retained for tile"
2460,"Light brown compact deposit in SE corner of area","Accumulation",20.0,80.0,0.0,"Friable","Light Brown",""
2461,"Brown silty deposit W. of 2378 along 2015 excavation limit","Accumulation",70.0,20.0,10.0,"Loose","Brown","no well-preserved diagnostics for comparanda"
2462,"Compact yellow deposit in eastern part of courtyard","Intentional Deposition",70.0,30.0,0.0,"Compact","Light Brown",""
2463,"Compact grey deposit along W. 2015 excavation limit","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
2464,"Compact brown deposit with frequent red tufo inclusions E. of floor 2253 in W. part of Room C1","Accumulation",20.0,80.0,0.0,"Compact","Brown","Sherds of variable fragmentation. No diagnostics useful for comparanda. "
2465,"Light brown compact deposit E. of wall 2276, running beneath wall 2306, =2460","Accumulation",20.0,70.0,10.0,"Compact","Light Brown","Many large fragments"
2466,"Brown silty deposit with frequent stone and ceramic inclusions W. of 2437","Accumulation",20.0,80.0,0.0,"Friable","Brown","Assemblage lacking many diagnostics, those that remain are mostly insufficiently preserved to yield comparanda. Few sherds from each ware. Commonware burnt and fragmented. Otherwise sherds In good condition."
2467,"Friable greyish yellow deposit S. of 2260","Accumulation",10.0,80.0,10.0,"Friable","Yellow","Highly fragmented sherds with accretions on many surfaces."
2468,"Light yellowish brown silty deposit in E. part of Room C1","Accumulation",20.0,80.0,0.0,"Friable","Light Yellow",""
2469,"Reddish-yellow compact deposit in S. part of Room C8","Accumulation",20.0,80.0,0.0,"Friable","Red","Black gloss in very good condition."
2470,"Loose red and yellow deposit S. and E. of wall(s) 2260, fill of cut 2473","Accumulation",1.0,98.0,1.0,"Soft","Red","Larger fragments in this SU, but few diagnostics."
2471,"compact grey deposit south of 2274","Accumulation",20.0,70.0,10.0,"Friable","Light Gray","Few diagnostics, sherd surfaces mostly abraded."
2472,"Compact yellowish-grey deposit N. of 2306 and S. of 2437, = 2476","Accumulation",10.0,80.0,10.0,"Friable","Gray","bucchero and buccheroid impasto very weathered; other ceramics in decent condition"
2473,"Cut filled by 2470, S. and E. of wall 2260","Cutting",0.0,0.0,0.0,"","",""
2474,"Light brown silty deposit S. of 2260","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","few diagnostic
"
2475,"Yellowish-light brown silty deposit N. of 2437 in S. part of courtyard, fills SU 2482","Accumulation",20.0,80.0,0.0,"Friable","Light Brown","sherds generally in fine condition: slips are well-preserved and fractures are sharp"
2476,"Compact brownish yellow deposit S. of walls 2355, 2306, E. of wall 2276, = 2472","Accumulation",10.0,80.0,10.0,"Loose","Light Brown","Clean breaks for the most part, coarser wares more abraded surfaces. No immediately apparent intrusive wares."
2477,"Compact light brown layer with frequent stone inclusions W. of 2245 in E. part of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Gray","few diagnostic fragments"
2478,"Fill of circular cut 2479, W. of wall 2245 in courtyard","Accumulation",10.0,80.0,10.0,"Loose","Yellow","two small sherds could be the comparanda"
2479,"Circular cut filled by 2478, W of wall 2245","Cutting",0.0,0.0,0.0,"","",""
2480,"Nearly whole vessel N. of 2437 and S. of block 2436","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown","Only three sherds in SU. "
2481,"Horizontally deposited tile in SW corner of courtyard","Collapse",0.0,0.0,0.0,"","",""
2482,"Linear cut filled by 2475, N. of 2437","Cutting",0.0,0.0,0.0,"","",""
2483,"Collapse of stones W. of 2437 along cut 2382","Collapse",0.0,0.0,0.0,"","",""
2484,"E.-W. Linear deposit of stones in S. part of courtyard, E. of 2437, =2437","Intentional Deposition",0.0,0.0,0.0,"","",""
2485,"Compact yellow deposit in Room C1","Accumulation",10.0,80.0,10.0,"Compact","Light Yellow","Mostly impasto, many sherds cracked and burnt."
2486,"Compact brown layer S. of ""wall"" 2355 in Room C8","Accumulation",20.0,80.0,0.0,"Friable","Brown","Large fragments, sharp breaks. "
2487,"Compact brown deposit W. of 2245 in E. part of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Light Brown","Very few diagnostics, fragmentation inconsistent (even within same ware)."
2488,"Compact grey deposit N. of 2260","Accumulation",20.0,80.0,0.0,"Friable","Light Gray",""
2489,"W. circular cut within linear cut 2482","Cutting",0.0,0.0,0.0,"","",""
2490,"E. circular cut within linear cut 2482","Cutting",0.0,0.0,0.0,"","",""
2491,"N.-S. Deposit of stones S. of 2437","Intentional Deposition",0.0,0.0,0.0,"","",""
2492,"Loose brown silty deposit with large stone, tile and red tufo inclusions in center of courtyard","Accumulation",10.0,90.0,0.0,"Loose","Brown","Few diagnostics, variable fragmentation. Black gloss surfaces somewhat abraded."
2493,"Cut filled by 2492 in center of courtyard","Cutting",0.0,0.0,0.0,"","",""
2494,"Yellow fill around cut 2479","Intentional Deposition",20.0,70.0,10.0,"Compact","Yellow",""
2495,"E.-W. wall of red tufo W. of 2261 in SW corner of 2015 Area C","Construction",0.0,0.0,0.0,"","",""
2496,"E.-W. Running deposit of basalt stones S. of ""wall"" 2355","Construction",0.0,0.0,0.0,"","",""
2497,"Pi shaped deposit of stones in E. part of Room C1, =4047","Construction",0.0,0.0,0.0,"","",""
2498,"Circular cut filled by 2494","Cutting",0.0,0.0,0.0,"","",""
2499,"Circular cut S. of 2493, filled by 2492","Cutting",0.0,0.0,0.0,"","",""
2500,"Compact grey deposit with stone inclusions, = 2487","Accumulation",20.0,80.0,0.0,"Compact","Gray",""
3000,"Silty brown layer of colluvium","Accumulation",0.0,90.0,10.0,"Loose","Brown",""
3001,"Silty layer with tufo stones","Accumulation",8.0,90.0,2.0,"Friable","Brown",""
3002,"Circular cut filled by 3001","Cutting",0.0,0.0,0.0,"","",""
3003,"light brown silt layer with tufo stones","Accumulation",20.0,80.0,0.0,"Loose","Light Brown",""
3004,"Silty brown layer of colluvium beneath 3000","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3005,"Fill of dolium 3006","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3006,"Dolium containing fill 3005, collapse 3007, fill 3008","Construction",0.0,0.0,0.0,"","",""
3007,"collapse of burial 30","Collapse",0.0,80.0,20.0,"Friable","Brown",""
3008,"Fill of burial beneath collapse 3007","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3009,"Cut in bedrock filled by 3006","Cutting",0.0,0.0,0.0,"","",""
3010,"Fill between bedrock and dolium 3006","Accumulation",10.0,80.0,10.0,"","",""
3011,"Cut filled by SU 3003","Cutting",0.0,0.0,0.0,"","",""
3012,"Collapse of wall south of 2219","Collapse",10.0,85.0,5.0,"Friable","Light Brown",""
3013,"Collapse south of wall 3014, east of wall 3015","Collapse",3.0,95.0,2.0,"Friable","Light Brown",""
3014,"E-W wall of tufo s. of 2219 Room 1","Construction",0.0,0.0,0.0,"","",""
3015,"N.-S. wall of tufo S. of 2219, Room 1","Construction",0.0,0.0,0.0,"","",""
3016,"Layer of fragmentary tufo W of wall 3015","Accumulation",3.0,95.0,2.0,"Friable","Brown",""
3017,"Layer of light brown yellowish silt","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
3018,"Silty later covering bedrock on W. edge of area.","Accumulation",0.0,0.0,0.0,"","",""
3019,"Silty medium brown layer N of trench","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3020,"Collapse North of wall 2219","Collapse",20.0,80.0,0.0,"Friable","Light Brown",""
3021,"Fill NW of wall 3014","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3022,"Collapse west of cut 3011","Collapse",0.0,80.0,20.0,"Friable","Light Brown",""
3023,"Collapse in south eastern part of area","Collapse",10.0,80.0,10.0,"Compact","Gray",""
3024,"Square cut in bedrock filled by 3021","",0.0,0.0,0.0,"","",""
3025,"compact silty layer","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3026,"reddish layer with silt and tufo","Construction",15.0,80.0,5.0,"Friable","Red",""
3027,"Dark brown fill of cut 3043","Accumulation",0.0,75.0,25.0,"Loose","Brown",""
3028,"light yellow brown accumulation","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3029,"W. wall of Room 2 with N-S orientation","Construction",0.0,0.0,0.0,"","",""
3030,"N. wall of Room 2 with E-W orientation","Construction",0.0,0.0,0.0,"","",""
3031,"E wall of room 2 with N-S orientation","Construction",0.0,0.0,0.0,"","",""
3032,"Eastern Skeleton Tomb Id # 38","Intentional Deposition",0.0,0.0,0.0,"","",""
3033,"Northern skeleton tomb Id #39","Intentional Deposition",0.0,0.0,0.0,"","",""
3034,"Western Skeleton Tomb ID #40","Intentional Deposition",0.0,0.0,0.0,"","",""
3035,"MISSING","",0.0,0.0,0.0,"","",""
3036,"Fill below eastern skeleton of tomb 38","Accumulation",20.0,80.0,0.0,"Compact","Gray",""
3037,"Fill below northern skeleton of tomb 39","Accumulation",20.0,80.0,0.0,"Compact","Gray",""
3038,"Fill below western skeleton of tomb 40","Accumulation",0.0,0.0,0.0,"","",""
3039,"Cut of eastern niche of the tomb 38","Cutting",0.0,0.0,0.0,"","",""
3040,"Cut of Northern Niche of Tomb 39","Cutting",0.0,0.0,0.0,"","",""
3041,"Cut of western niche of tomb 40","Cutting",0.0,0.0,0.0,"","",""
3042,"Drainage channel","Accumulation",10.0,80.0,10.0,"Friable","Brown","Some larger pieces, mostly of dolium and amphora, but most sherds are smaller and some types with degraded surfaces."
3043,"Cut filled by 3027","Cutting",0.0,0.0,0.0,"","",""
3044,"red layer of silt, S. of 3014 and E of 3015","Accumulation",15.0,80.0,5.0,"Friable","Red",""
3045,"Thin silty layer within walls 3029, 3030, 3031","Accumulation",0.0,80.0,20.0,"Compact","Light Brown",""
3046,"Compact layer of yellowish-red silts S. of 3014 and E. of 3015","Accumulation",15.0,80.0,5.0,"Compact","Light Yellow",""
3047,"This layer of yellow silt, north of wall 3030","Accumulation",0.0,80.0,20.0,"Soft","Light Yellow",""
3048,"Light brown silty layer with small stone inclusions","Accumulation",20.0,40.0,20.0,"Compact","Light Brown",""
3049,"light brown silty deposit of road","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3050,"Thin layer of light brown silt covering ashy layer on W. limit of area","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3051,"Layer of silt and stones within circular stone feature near W limit of area","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3052,"layer of light brown silt within walls 3029, 3030 and 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3053,"Light brown silty layer W. of walls 2033 and 2216","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
3054,"collapse S of wall 2219 and N of wall 3014","Collapse",0.0,80.0,20.0,"Compact","Light Brown",""
3055,"compact layer in SW corner of excavation","Accumulation",0.0,80.0,20.0,"Compact","Light Brown",""
3056,"Collapse within circular feature E of W balk","Collapse",2.0,95.0,3.0,"Loose","Light Brown",""
3057,"Black layer N. of wall 3030","Accumulation",5.0,90.0,5.0,"Friable","Black",""
3058,"Erosion layer cutting SU 3057 and 3030","Erosion",0.0,0.0,0.0,"","",""
3059,"Brown silty fill within circular feature near W baulk","Accumulation",1.0,90.0,9.0,"Friable","Light Brown",""
3060,"Loose silty fill of circular cut with stones","Collapse",0.0,80.0,29.0,"Friable","Light Brown",""
3061,"Layer of yellow soil; west of wall 3029","Accumulation",5.0,80.0,15.0,"","Yellow",""
3062,"Yellow silty circular deposit N. of wall 3029","Accumulation",5.0,75.0,20.0,"Friable","Yellow",""
3063,"Layer of yellowish-brown silt beneath pavement 3044","Accumulation",5.0,80.0,15.0,"Friable","Light Yellow",""
3064,"circular feature in SW corner of Area","Construction",0.0,0.0,0.0,"","",""
3065,"Grey silty layer in SW corner of Area W. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3066,"Layer of brown silt covered by 3053, fill of cut 3081","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3067,"N-S wall S. of 2219 near E. Baulk","Construction",0.0,0.0,0.0,"","",""
3068,"Collapse North of wall 3067","Collapse",0.0,80.0,20.0,"Friable","Light Brown",""
3069,"Pilaster in Room 1","Construction",0.0,0.0,0.0,"","",""
3070,"Silty brown layer in room 1","Accumulation",0.0,1.0,0.0,"Friable","Light Brown",""
3071,"Yellowish-red layer in room 2","Accumulation",0.0,1.0,0.0,"Friable","Red",""
3072,"silty brown layer in room 1","Accumulation",0.0,1.0,0.0,"Friable","Light Brown",""
3073,"Yellow silty deposit in room 2, cut by 3043","Accumulation",0.0,1.0,0.0,"Friable","Red",""
3074,"Red clayey deposit in NE corner of Room 2","Accumulation",1.0,0.0,0.0,"Hard","Light Brown",""
3075,"red clayey deposit w. of wall 3031 in room 2","Accumulation",0.0,1.0,0.0,"Compact","Red",""
3076,"semi-circular feature in the central-western part of the area","Construction",0.0,0.0,0.0,"","",""
3077,"Ashy layer in central-western part of area","Accumulation",0.0,1.0,0.0,"Soft","Black",""
3078,"yellowish-brown layer W of wall 3015","Accumulation",0.0,1.0,0.0,"Friable","Light Yellow",""
3079,"western skeleton tomb id #41","Intentional Deposition",0.0,0.0,0.0,"","",""
3080,"eastern skeleton tomb id #42","Intentional Deposition",0.0,0.0,0.0,"","",""
3081,"rectangular cut in bedrock filled by 3066","Cutting",0.0,0.0,0.0,"","",""
3082,"cut of western niche of tomb, id# 41","Cutting",0.0,0.0,0.0,"","",""
3083,"cut of eastern niche of tomb, id #42","Cutting",0.0,0.0,0.0,"","",""
3084,"erosion layer W. of wall 3031 in room 2","Accumulation",0.0,1.0,0.0,"Friable","Light Brown",""
3085,"yellow layer of silt W. of wall 3031 in room 2","Accumulation",0.0,1.0,0.0,"Friable","Light Yellow",""
3086,"red layer beneath walls 3095,3096 in room 2","Construction",0.0,1.0,0.0,"Friable","Red",""
3087,"layer of brown soil w. of wall 3031 in room 2","Accumulation",0.0,1.0,0.0,"Friable","Brown",""
3088,"layer of yellow soil within walls 3030 and 3031 in room 2","Accumulation",0.0,1.0,0.0,"Friable","Yellow",""
3089,"light brown layer N. of wall 3014 and S. of wall 2219","Accumulation",0.0,1.0,0.0,"Compact","Gray",""
3090,"silty deposit W. of wall 3015 and N of 3076","Accumulation",0.0,1.0,0.0,"Compact","Light Brown",""
3091,"brown layer of silt W. of wall 3031 in room 2","Accumulation",0.0,1.0,0.0,"Compact","Brown",""
3092,"yellow pavement in N. half of room 2","Construction",0.0,1.0,0.0,"","",""
3093,"gray silty layer N. of wall 3030, W. of 3076 in Room 1","Accumulation",0.0,1.0,0.0,"Compact","Gray",""
3094,"red clayey deposit in NW corner of Room 2","Accumulation",0.0,1.0,0.0,"Friable","Red",""
3095,"N. wall of Room 2 with E to W orientation, abuts 3030","Construction",0.0,0.0,0.0,"","",""
3096,"E. wall of room 2 with N->S orientation, abuts 3031","Construction",0.0,0.0,0.0,"","",""
3097,"Fill of vase 3099 in NW corner of Room 2","Accumulation",0.0,1.0,0.0,"Friable","Brown",""
3098,"Skeleton in vase 3099, tomb ID #44","Intentional Deposition",0.0,0.0,0.0,"","",""
3099,"vase containing fill 3097 and tomb 44","Intentional Deposition",0.0,0.0,0.0,"","",""
3100,"Cut filled by 3084","Cutting",0.0,0.0,0.0,"","",""
3101,"Light brown silty layer south of wall 2250","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
3102,"Compact yellow layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Light Yellow","Good"
3103,"Compact layer of yellowish-brown silt in SE corner of area","Accumulation",0.0,80.0,20.0,"Compact","Light Yellow",""
3104,"Gray silty layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Light Gray","Poor condition; worn surfaces."
3105,"Yellowish-brown silty layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Yellow","Few diagnostics, small sherd size."
3106,"Preparation in SE corner of area","Collapse",0.0,80.0,20.0,"Loose","Light Brown","Fair condition, few diagnostic sherds."
3107,"Yellowish-brown silty layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Light Yellow",""
3108,"Gray silty layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Gray","Sherds are in good condition, gap in dating of material."
3109,"Brown silty layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Brown","Generally good condition; few very small sherds."
3110,"Collapse in SE corner of area","Intentional Deposition",0.0,90.0,10.0,"Loose","Brown","Dominated by tile. Layer is probably AD 1 to AD 100, based on terra sigillata diagnostic. Few diagnostics overall - mostly tile."
3111,"Brown silty layer in SW corner of area","Accumulation",5.0,70.0,25.0,"Friable","Brown",""
3112,"Dark brown layer in SE corner of area","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3113,"Gray silty layer with yellow tufo inclusions","Accumulation",0.0,80.0,20.0,"Friable","Gray",""
3114,"Grey silty layer in SE quadrant, south of wall 3067","Accumulation",0.0,80.0,20.0,"Friable","Gray","Generally good condition"
3115,"Compact brown silty layer with grey inclusions","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3116,"Destruction SW of wall 2250","Collapse",0.0,80.0,20.0,"Loose","Brown",""
3117,"Brownish-grey triangular layer SE of drainage channel","Accumulation",0.0,80.0,20.0,"Friable","Gray",""
3118,"Brown fill of cut south of wall 2250","Accumulation",0.0,0.0,0.0,"","","Generally good condition. Some sherds have accretions, but not all."
3119,"Grey fill of cut 3122 in SE quadrant of area","Accumulation",0.0,70.0,30.0,"Friable","Gray",""
3120,"Fill of vessel 3121, Tomb 46","Intentional Deposition",0.0,80.0,20.0,"Loose","Brown",""
3121,"Ollae containing fill 3120, Tomb 46","Intentional Deposition",0.0,0.0,0.0,"","","Found mostly intact but with many cracks.  Broken into many pieces during excavation and washing."
3122,"Cut of grey fill 3119 in SE quadrant of area","Cutting",0.0,0.0,0.0,"","",""
3123,"Yellow-gray compact deposit in southeast quadrant of area","Accumulation",0.0,80.0,20.0,"Compact","Yellow","Sherds in good condition but with few diagnostics useful for comparanda."
3124,"Gray silty layer East of western baulk","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
3125,"Cut filled by 3118","Cutting",0.0,0.0,0.0,"","",""
3126,"Fill of cut 3127","Accumulation",0.0,80.0,20.0,"Loose","Brown","Large sherd size, well-preserved state."
3127,"Cut filled by 3126","Cutting",0.0,0.0,0.0,"","",""
3128,"Gray compact layer south of drainage channel","Accumulation",0.0,80.0,20.0,"Friable","Gray",""
3129,"Gray, silty layer in southeast corner of area","Accumulation",0.0,80.0,20.0,"Compact","Gray",""
