SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX,
3765,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,2,3,0.008,2,3,700,BC,600,BC,
3770,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,2,4,0.026,3,5,700,BC,600,BC,
3741,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.004,2,2,700,BC,600,BC,
3756,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,4,5,0.034,2,7,700,BC,600,BC,
3748,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.006,2,2,700,BC,600,BC,
3719,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,1,2,0.006,3,3,700,BC,600,BC,
3729,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,1,3,0.028,2,5,700,BC,600,BC,
3793,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,4,4,0.012,2,3,700,BC,600,BC,
3786,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.004,2,3,700,BC,600,BC,
3803,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,700,BC,600,BC,
3809,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,4,6,0.032,2,6,700,BC,600,BC,
3810,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.006,2,3,700,BC,600,BC,
3827,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,700,BC,600,BC,
3735,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,4,5,0.012,1,2,700,BC,600,BC,
3742,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.07,3,10,700,BC,600,BC,
3738,Buccheroid Impasto,NULL,NULL,3,NULL,NULL,NULL,3,0.005,1,2,700,BC,600,BC,
3670,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,2,4,0.03,2,6,700,BC,600,BC,
3700,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.01,2,3,700,BC,600,BC,
3749,Buccheroid Impasto,NULL,NULL,2,1,NULL,3,6,0.014,2,4,700,BC,600,BC,
3792,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.001,2,2,700,BC,600,BC,
3789,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.008,3,3,700,BC,600,BC,
3853,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,700,BC,600,BC,
3747,Buccheroid Impasto,NULL,NULL,3,1,1,2,7,0.088,3,8,700,BC,600,BC,
3859,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,2,3,0.032,2,5,700,BC,600,BC,
3758,Buccheroid Impasto,NULL,NULL,3,NULL,NULL,8,11,0.034,1,4.5,700,BC,600,BC,
5736,Fineware,NULL,NULL,1,NULL,NULL,NULL,1,0.021,6,6,700,BC,400,BC,
3848,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,5,7,0.026,2,4,700,BC,600,BC,
3852,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.024,6,6,700,BC,600,BC,
2494,Commonware,NULL,NULL,2,NULL,2,7,11,0.266,NULL,NULL,700,BC,500,BC,
3610,Impasto Rosso,NULL,NULL,2,1,1,101,106,1.801,1,7,700,BC,500,BC,
3463,Cooking Stand,Impasto rosso,NULL,NULL,NULL,NULL,NULL,1,0.072,5,NULL,700,BC,500,BC,
3463,Cooking Stand,Impasto rosso,NULL,NULL,NULL,NULL,NULL,1,0.072,5,NULL,700,BC,500,BC,
3477,Impasto Rosso,NULL,NULL,1,NULL,NULL,3,4,0.015,1,3,700,BC,500,BC,
3523,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,0.05,2,4,700,BC,500,BC,
3499,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,0.051,2,4,700,BC,500,BC,
3537,Commonware,NULL,NULL,NULL,NULL,NULL,1,1,0.012,3,NULL,700,BC,200,AD,
3626,Impasto,One ridged handle and one pot lid,NULL,5,2,NULL,63,70,1.379,1,9,700,BC,500,BC,
321,Etrusco-Corinthian,NULL,NULL,NULL,NULL,NULL,7,7,0.014,NULL,NULL,700,BC,600,BC,
321,Italo Geometric,NULL,NULL,1,NULL,NULL,8,9,0.035,NULL,NULL,700,BC,650,BC,
2643,Etrusco-Corinthian,NULL,NULL,NULL,NULL,NULL,1,1,0.002,2,2,700,BC,600,BC,
2643,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,8,8,0.228,2,8,700,BC,500,BC,
2586,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,3,3,0.085,2,6,700,BC,500,BC,
2596,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.103,3,8,700,BC,500,BC,
2657,Italo Geometric,NULL,NULL,NULL,1,NULL,NULL,1,0.002,2,2,700,BC,675,BC,
2648,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.01,3,4,700,BC,450,BC,
2654,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,700,BC,500,BC,
2677,Impasto Bruno,NULL,NULL,4,2,1,43,50,0.689,2,11,700,BC,600,BC,
2694,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.008,2,5,700,BC,550,BC,
2748,Italo Geometric,NULL,NULL,NULL,NULL,NULL,1,1,0.003,3,3,700,BC,650,BC,
2748,Italo Geometric,NULL,NULL,2,NULL,NULL,2,4,0.046,2,7,700,BC,650,BC,
2731,Italo Geometric,Many pieces of the same vessel,NULL,4,NULL,NULL,5,9,0.024,2,6,715,BC,650,BC,
2122,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,720,BC,350,BC,
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,720,BC,500,BC,
3004,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,720,BC,50,BC,
3004,Impasto,NULL,NULL,153,43,11,1350,1557,NULL,NULL,NULL,720,BC,600,BC,
3392,Italo Geometric,NULL,NULL,NULL,NULL,NULL,2,2,0.018,4,6,725,BC,500,BC,
3263,Italo Geometric,NULL,NULL,2,NULL,NULL,2,4,0.014,2,4,725,BC,700,BC,
3429,Italo Geometric,NULL,NULL,NULL,NULL,NULL,2,2,0.008,3,3,725,BC,500,BC,
2586,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,0.004,3,3,725,BC,575,BC,
1330,Impasto,NULL,NULL,2,2,NULL,8,12,0.138,2,4,730,BC,580,BC,
3134,Etrusco-corinthian,NULL,NULL,NULL,1,NULL,1,2,0.01,3,4,730,BC,580,BC,
3116,Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.012,NULL,4,730,BC,580,BC,
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,730,BC,580,BC,
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,730,BC,580,BC,
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,730,BC,580,BC,
3131,Italo Geometric,NULL,NULL,1,NULL,NULL,1,2,0.006,NULL,2,730,BC,540,BC,
2015,Impasto,NULL,NULL,NULL,1,NULL,4,5,NULL,NULL,NULL,730,BC,580,BC,
177,Impasto,NULL,NULL,NULL,1,NULL,10,NULL,NULL,NULL,NULL,730,BC,530,BC,
141,Impasto,NULL,NULL,8,5,3,58,74,NULL,NULL,NULL,730,BC,580,BC,
141,Etrusco-corinthian,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,730,BC,580,BC,
374,Impasto,NULL,NULL,1,NULL,NULL,8,9,0.107,2,4,730,BC,500,BC,
2136,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,730,BC,500,BC,
2126,Impasto Rosso,NULL,NULL,1,NULL,NULL,13,14,NULL,NULL,NULL,730,BC,500,BC,
1116,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,730,BC,500,BC,
395,Impasto Rosso,NULL,NULL,NULL,1,1,11,13,NULL,NULL,NULL,730,BC,500,BC,
1180,Impasto Rosso,NULL,NULL,1,1,NULL,9,11,NULL,NULL,NULL,730,BC,500,BC,
1204,Impasto Rosso,NULL,NULL,3,NULL,2,10,15,NULL,NULL,NULL,730,BC,500,BC,
1112,Impasto Rosso,NULL,NULL,2,NULL,NULL,7,9,NULL,NULL,NULL,730,BC,500,BC,
3012,Impasto,NULL,NULL,42,3,13,315,373,NULL,NULL,NULL,730,BC,580,BC,
3004,Impasto Chiaro Sabbioso,NULL,NULL,5,NULL,NULL,12,17,NULL,NULL,NULL,730,BC,400,BC,
3004,Impasto,NULL,NULL,153,43,11,1350,1557,NULL,NULL,NULL,730,BC,580,BC,
3052,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,730,BC,530,BC,
3052,Impasto,NULL,NULL,8,1,1,24,34,NULL,NULL,NULL,730,BC,580,BC,
3056,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,730,BC,580,BC,
3269,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,3,5,0.016,1,4,730,BC,580,BC,
3272,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,NULL,2,0.01,3,3,730,BC,580,BC,
3263,Impasto,NULL,NULL,50,7,3,628,688,5.555,1,11,730,BC,580,BC,
3311,Impasto,NULL,NULL,3,5,2,43,53,0.458,3,15,730,BC,680,BC,
3285,Impasto,NULL,NULL,7,NULL,1,17,25,0.21,2,6,730,BC,580,BC,
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,730,BC,580,BC,
3305,Impasto Bruno,NULL,NULL,29,6,5,332,372,4.163,2,8,730,BC,580,BC,
3305,Impasto Bruno,NULL,NULL,29,6,5,332,372,4.163,2,8,730,BC,580,BC,
3281,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.062,3,6,730,BC,650,BC,
3287,Impasto Bruno,NULL,NULL,4,2,2,78,86,1.142,1,9,730,BC,580,BC,
3386,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,NULL,2,0.002,2,4,730,BC,580,BC,
3386,Impasto,NULL,NULL,NULL,2,NULL,66,67,0.496,2,12,730,BC,580,BC,
2002,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,730,BC,580,BC,
2002,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,730,BC,580,BC,
5121,Impasto,NULL,NULL,1,NULL,NULL,5,6,0.054,2,4,730,BC,580,BC,
3449,Impasto,NULL,NULL,NULL,NULL,NULL,17,17,0.134,2,6,730,BC,580,BC,
3429,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,8,9,0.026,2,3,730,BC,580,BC,
3442,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,5,6,0.008,1,3,730,BC,580,BC,
3512,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,37,38,0.13,2,6,730,BC,580,BC,
3442,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,5,6,0.008,1,3,730,BC,580,BC,
3514,Impasto,NULL,NULL,8,NULL,NULL,68,76,0.852,2,10,730,BC,580,BC,
3518,Buccheroid Impasto,NULL,NULL,4,1,NULL,16,21,0.07,1,4,730,BC,580,BC,
3485,Buccheroid Impasto,NULL,NULL,4,1,NULL,16,21,0.07,2,5,730,BC,580,BC,
3606,Buccheroid Impasto,NULL,NULL,1,NULL,2,11,14,0.048,2,4,730,BC,580,BC,
3766,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,2,4,0.172,2,10,730,BC,580,BC,
3758,Impasto,Several pieces heavily burned,NULL,8,2,1,142,153,2,2,11,730,BC,580,AD,
3626,Impasto,One ridged handle and one pot lid,NULL,5,2,NULL,63,70,1.379,1,9,730,BC,580,BC,
2589,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.041,3,5,730,BC,580,BC,
3318,Italo Geometric,NULL,NULL,NULL,NULL,1,1,2,0.016,2,3,750,BC,600,BC,
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,750,BC,650,BC,
3361,Impasto,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,750,BC,725,BC,
1279,Italo Geometric,NULL,NULL,NULL,1,NULL,7,8,NULL,NULL,NULL,750,BC,600,BC,
347,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC,
344,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC,
337,Impasto,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,770,BC,730,BC,
2095,Impasto Rosso,NULL,NULL,33,6,3,115,157,NULL,NULL,NULL,770,BC,750,BC,
1378,Impasto Rosso,NULL,NULL,2,NULL,NULL,5,7,NULL,NULL,NULL,770,BC,730,BC,
3021,Impasto,NULL,NULL,44,4,9,173,230,NULL,NULL,NULL,770,BC,720,BC,
3311,Impasto,NULL,NULL,3,5,2,43,53,0.458,3,15,770,BC,650,BC,
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,770,BC,730,BC,
3264,Impasto,NULL,NULL,5,3,1,41,50,0.712,2,8,770,BC,730,BC,
3266,Impasto,NULL,NULL,NULL,NULL,NULL,7,7,0.17,3,9,770,BC,730,BC,
3361,Italo Geometric,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,770,BC,730,BC,
2349,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,770,BC,580,BC,
3559,Impasto,NULL,NULL,2,NULL,NULL,1,3,0.054,4,5,770,BC,730,BC,
3731,Buccheroid Impasto,NULL,1,10,2,NULL,45,78,0.584,2,11,770,BC,730,BC,
2342,Impasto Rosso,NULL,NULL,2,NULL,NULL,NULL,2,0.03,3,4,800,BC,500,BC,
1340,Impasto Rosso,NULL,NULL,1,1,NULL,2,4,0.034,2,3,800,BC,500,BC,
1320,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,0.038,3,4,800,BC,500,BC,
1368,Impasto Rosso,NULL,NULL,6,1,NULL,10,17,0.534,3,10,800,BC,500,BC,
1442,Impasto Rosso,NULL,NULL,3,NULL,1,3,7,0.19,4,6,800,BC,500,BC,
1317,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.018,NULL,4,800,BC,500,BC,
3042,Impasto Rosso,NULL,NULL,6,NULL,2,31,39,0.694,2,8,800,BC,500,BC,
2343,Impasto Rosso,NULL,NULL,NULL,NULL,1,NULL,1,0.014,NULL,4,800,BC,500,BC,
1456,Impasto Rosso,NULL,NULL,1,NULL,NULL,3,4,0.046,3,4,800,BC,500,BC,
1437,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.028,NULL,5,800,BC,500,BC,
2074,Impasto Rosso,NULL,NULL,1,NULL,NULL,17,18,0.596,2,8,800,BC,500,BC,
1401,Impasto Rosso,NULL,NULL,1,NULL,NULL,3,4,0.03,2,4,800,BC,500,BC,
1194,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.008,NULL,3,800,BC,500,BC,
1422,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.001,NULL,2,800,BC,500,BC,
3105,Impasto Rosso,NULL,NULL,NULL,1,NULL,NULL,1,0.138,NULL,5,800,BC,500,BC,
3106,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.008,NULL,3,800,BC,500,BC,
3108,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.028,3,4,800,BC,500,BC,
1427,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,13,13,0.496,2,10,800,BC,500,BC,
2340,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.012,NULL,4,800,BC,500,BC,
2094,Impasto Rosso,NULL,NULL,1,NULL,1,11,13,0.292,2,7,800,BC,500,BC,
2076,Impasto Rosso,NULL,NULL,5,NULL,NULL,29,34,0.802,2,7,800,BC,500,BC,
1306,Impasto Rosso,NULL,NULL,1,NULL,NULL,1,2,0.084,3,5,800,BC,500,BC,
3118,Impasto Rosso,NULL,NULL,1,2,NULL,20,23,0.422,2,5,800,BC,500,BC,
1036,Bucchero,NULL,NULL,4,NULL,NULL,3,7,NULL,NULL,NULL,800,BC,600,BC,
2010,Bucchero,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,800,BC,600,BC,
2095,Impasto Rosso,NULL,NULL,33,6,3,115,157,NULL,NULL,NULL,800,BC,700,BC,
1205,Impasto,NULL,NULL,5,2,3,28,38,NULL,NULL,NULL,800,BC,500,BC,
2100,Impasto,NULL,NULL,3,3,NULL,60,66,NULL,NULL,NULL,800,BC,500,BC,
1112,Impasto,NULL,NULL,2,1,1,15,19,NULL,NULL,NULL,800,BC,500,BC,
1218,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,14,14,NULL,NULL,NULL,800,BC,500,BC,
1218,Impasto,NULL,NULL,8,NULL,6,24,38,NULL,NULL,NULL,800,BC,500,BC,
1122,Impasto Rosso,NULL,NULL,2,NULL,NULL,11,13,0.101,2,5,800,BC,500,BC,
2143,Impasto,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,800,BC,500,BC,
535,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,800,BC,500,BC,
539,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
554,Impasto Rosso,NULL,NULL,NULL,NULL,1,3,4,NULL,NULL,NULL,800,BC,500,BC,
422,Impasto,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL,800,BC,500,BC,
435,Impasto Rosso,NULL,NULL,3,NULL,NULL,18,21,NULL,NULL,NULL,800,BC,500,BC,
1182,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,800,BC,500,BC,
2147,Impasto Rosso,NULL,NULL,NULL,2,1,100,103,NULL,NULL,NULL,800,BC,500,BC,
403,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
416,Impasto Rosso,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,800,BC,500,BC,
439,Impasto Rosso,NULL,NULL,2,NULL,NULL,8,10,NULL,NULL,NULL,800,BC,500,BC,
449,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
455,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
507,Impasto Rosso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,800,BC,500,BC,
329,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,800,BC,500,BC,
452,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
505,Impasto Rosso,NULL,NULL,5,NULL,NULL,1,6,NULL,NULL,NULL,800,BC,500,BC,
419,Impasto Rosso,NULL,NULL,2,NULL,NULL,29,31,NULL,NULL,NULL,800,BC,500,BC,
584,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
542,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
583,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
572,Impasto Rosso,NULL,NULL,NULL,NULL,1,2,3,NULL,NULL,NULL,800,BC,500,BC,
580,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,800,BC,500,BC,
121,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
2221,Impasto Rosso,NULL,NULL,NULL,NULL,1,1,2,NULL,NULL,NULL,800,BC,500,BC,
2313,Impasto Rosso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,800,BC,500,BC,
2287,Impasto Rosso,NULL,NULL,2,1,1,24,28,NULL,NULL,NULL,800,BC,500,BC,
3012,Impasto Rosso,NULL,NULL,NULL,4,1,27,32,NULL,NULL,NULL,800,BC,500,BC,
3028,Impasto Rosso,NULL,NULL,2,NULL,NULL,7,9,NULL,NULL,NULL,800,BC,500,BC,
3018,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,800,BC,500,BC,
2224,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,3,4,NULL,NULL,NULL,800,BC,500,BC,
2266,Impasto Rosso,NULL,NULL,2,NULL,1,11,14,NULL,NULL,NULL,800,BC,500,BC,
3021,Impasto Rosso,NULL,NULL,1,3,1,19,24,NULL,NULL,NULL,800,BC,500,BC,
398,Impasto Rosso,NULL,NULL,2,NULL,1,14,17,0.436,4,8,800,BC,500,BC,
1099,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,800,BC,500,BC,
1100,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,800,BC,500,BC,
3238,Impasto,NULL,NULL,8,8,1,73,89,1.39,2,8,800,BC,600,BC,
3229,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.01,3,4,800,BC,500,BC,
3270,Impasto Rosso,NULL,NULL,NULL,1,3,3,4,0.18,4,7,800,BC,500,BC,
3257,Impasto Rosso,NULL,NULL,1,NULL,NULL,21,22,0.448,2,5,800,BC,500,BC,
3257,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,2,3,0.006,2,3,800,BC,600,BC,
3268,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.022,5,5,800,BC,500,BC,
3274,Buccheroid Impasto,NULL,NULL,3,NULL,NULL,6,9,0.046,2,5,800,BC,500,BC,
3274,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,7,7,0.298,4,6,800,BC,500,BC,
3276,Impasto Rosso,NULL,NULL,2,NULL,NULL,17,19,0.538,2,9,800,BC,500,BC,
3387,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.014,3,3,800,BC,500,BC,
3351,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,17,17,0.0256,2,6,800,BC,500,BC,
3393,Commonware,NULL,NULL,1,NULL,NULL,NULL,1,0.001,3,3,800,BC,500,BC,
3388,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,NULL,1,0.001,2,2,800,BC,500,BC,
2417,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.012,3,3,800,BC,500,BC,
2202,Impasto Rosso,NULL,NULL,1,NULL,NULL,6,7,0.068,3,4,800,BC,500,BC,
2368,Impasto Rosso,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,800,BC,500,BC,
2370,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
2371,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
3008,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
3013,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
1110,Impasto Rosso,NULL,NULL,2,NULL,3,10,15,NULL,NULL,NULL,800,BC,500,BC,
1166,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC,
1190,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,800,BC,500,BC,
1203,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC,
1248,Impasto Rosso,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,800,BC,500,BC,
1300,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,11,11,NULL,NULL,NULL,800,BC,500,BC,
2418,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,0.052,2,4,800,BC,500,BC,
2387,Impasto Rosso,NULL,NULL,2,NULL,NULL,2,4,0.038,2,4,800,BC,500,BC,
2398,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.004,2,2,800,BC,500,BC,
2415,Impasto Rosso,NULL,NULL,11,NULL,7,43,61,1.09,2,10,800,BC,500,BC,
2442,Impasto Rosso,NULL,NULL,1,NULL,NULL,NULL,1,0.006,3,3,800,BC,500,BC,
2440,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,0.026,3,4,800,BC,500,BC,
2420,Impasto Rosso,NULL,NULL,1,1,1,7,10,0.22,2,6,800,BC,500,BC,
2431,Impasto Rosso,NULL,NULL,6,1,NULL,30,37,0.878,4,7,800,BC,500,BC,
2451,Impasto Rosso,NULL,NULL,2,NULL,1,13,16,0.176,2,5,800,BC,500,BC,
2446,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.007,3,3,800,BC,500,BC,
2468,Impasto Rosso,NULL,NULL,2,NULL,1,12,15,0.139,2,5,800,BC,500,BC,
2472,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,0.055,2,6,800,BC,500,BC,
2466,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.006,2,2,800,BC,500,BC,
3151,Impasto,NULL,NULL,13,1,4,118,136,2.746,2,11,800,BC,500,BC,
2002,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,800,BC,500,BC,
4022,Impasto Rosso,NULL,NULL,2,NULL,NULL,3,5,NULL,NULL,NULL,800,BC,500,BC,
5027,Impasto Rosso,NULL,NULL,1,NULL,NULL,NULL,1,0.004,NULL,2,800,BC,500,BC,
5031,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.001,NULL,2,800,BC,500,BC,
5025,Impasto Rosso,NULL,NULL,2,NULL,NULL,6,8,0.212,3,7,800,BC,500,BC,
5058,Impasto Rosso,NULL,NULL,2,NULL,NULL,20,22,0.276,2,5,800,BC,500,BC,
5098,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,800,BC,500,BC,
5091,Impasto Rosso,NULL,NULL,6,NULL,1,13,20,0.416,2,6,800,BC,500,BC,
5160,Impasto Rosso,NULL,NULL,2,NULL,NULL,3,5,0.04,2,4,800,BC,500,BC,
5512,Impasto Rosso,NULL,NULL,1,NULL,NULL,NULL,1,0.03,4,4,800,BC,500,BC,
5514,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,NULL,3,800,BC,500,BC,
3446,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,3,3,0.264,5,11,800,BC,500,BC,
3432,Impasto Rosso,NULL,NULL,1,NULL,NULL,9,9,0.174,3,6,800,BC,500,BC,
5555,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,800,BC,500,BC,
3426,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.016,4,4,800,BC,500,BC,
3452,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,0.016,4,4,800,BC,500,BC,
